"filename", "language", "JavaScript", "JSON with Comments", "TypeScript", "JSON", "Python", "TypeScript JSX", "PostCSS", "MS SQL", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\samsung\istanbul\bahcelievler\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 17, 284
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\samsung\istanbul\bakirkoy\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 17, 284
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\samsung\istanbul\basaksehir\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 17, 284
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\samsung\istanbul\bayrampasa\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 17, 284
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\samsung\istanbul\besiktas\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 17, 284
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\samsung\istanbul\beykoz\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 17, 284
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\samsung\istanbul\beylikduzu\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 17, 284
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\samsung\istanbul\beyoglu\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 17, 284
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\samsung\istanbul\buyukcekmece\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 17, 284
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\samsung\istanbul\catalca\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 17, 284
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\samsung\istanbul\cekmekoy\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 17, 284
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\samsung\istanbul\esenler\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 17, 284
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\samsung\istanbul\esenyurt\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 17, 284
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\samsung\istanbul\eyupsultan\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 17, 284
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\samsung\istanbul\fatih\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 17, 284
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\samsung\istanbul\gaziosmanpasa\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 17, 284
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\samsung\istanbul\gungorent\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 17, 284
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\samsung\istanbul\kadikoy\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 17, 284
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\samsung\istanbul\kagithane\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 17, 284
"c:\Users\ibrahim\Downloads\zero_cms\app\brands\samsung\istanbul\kartal\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 17, 284
