"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript", "XML", "HTML", "TypeScript JSX", "Python", "PostCSS", "Markdown", "MS SQL", "comment", "blank", "total"
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\samsung\istanbul\sultangazi\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\samsung\istanbul\tuzla\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\samsung\istanbul\umraniye\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\samsung\istanbul\uskudar\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\samsung\istanbul\zeytinburnu\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\samsung\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 921, 0, 0, 0, 0, 7, 33, 961
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\sony\[model]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 470, 0, 0, 0, 0, 10, 34, 514
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\sony\istanbul\adalar\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\sony\istanbul\arnavutkoy\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\sony\istanbul\atasehir\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\sony\istanbul\avcilar\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\sony\istanbul\bagcilar\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\sony\istanbul\bahcelievler\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\sony\istanbul\bakirkoy\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\sony\istanbul\basaksehir\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\sony\istanbul\bayrampasa\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\sony\istanbul\besiktas\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\sony\istanbul\beykoz\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\sony\istanbul\beylikduzu\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
"c:\Users\ibrahim\Downloads\zero_yayina_dogru-main\app\markalar\sony\istanbul\beyoglu\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 10, 18, 285
